"rank","tier","confidence","name","filing_date","state","industry","amount_offered_usd","amount_sold_usd","investors","archetype","total_score","solo_buildability","business_potential","fundability","korea_fit","global_fit","adjacent_optionality","product_summary","solo_idea","revenue_model","moat_to_build","expansion","risk","build_window","official_url","sec_url"
"1","핵심","A","Language IO, Inc.","2026-01-14","WY","Other Technology","3000000","1499982","24","마케팅·영업·고객운영","91","23","22","20","13","9","4","Powered by AI, Language IO delivers real-time, accurate translations for you and your customers in 150+ languages through seamless integrations…","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://languageio.com/","https://www.sec.gov/Archives/edgar/data/1904270/000190427026000001/0001904270-26-000001-index.html"
"2","핵심","B","Indie Health Inc.","2025-05-27","NY","Other Health Care","5496388","5496388","21","음성·프런트데스크","90","23","24","16","14","9","4","The Front Desk Operating System for MSK Practices. Capture more patient demand. Reduce administrative overhead. Improve practice margins.","치과·자동차정비·수리업 중 하나의 전화 접수, 예약, 미응답 후속연락을 사람 전환과 함께 자동화","지점당 월 구독 + 통화량 + 초기 연동비","업종별 통화 결과, 예약 전환, 실패·사람 전환 규칙","한국에서 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.indie.health/","https://www.sec.gov/Archives/edgar/data/2067741/000206774125000001/0002067741-25-000001-index.html"
"3","핵심","B","Alvee Health Inc.","2026-05-04","FL","Other Health Care","2500023","2500023","3","의료 수익·청구 운영","90","21","25","19","13","8","4","Alvee activates SDOH and whole-person care: surface social needs in your charts, connect patients to real help, and capture reimbursement…","치과·검사기관의 청구 전 누락검사, 거절 사유 분류, 재청구 초안을 사람 승인 방식으로 제공","월 구독 + 회수·누수복원 금액의 성과수수료","거절 사유, 수정 이력, 실제 회수 결과 데이터","한국·일본의 비임상 청구 운영","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://alvee.ai/","https://www.sec.gov/Archives/edgar/data/2132348/000213234826000001/0002132348-26-000001-index.html"
"4","핵심","A","Abax Health, Inc.","2025-11-03","CT","Other Technology","4796924","4796924","27","의료 수익·청구 운영","90","21","25","19","13","8","4","We believe that the front end of your revenue cycle is broken-and it’s costing you patients and profit. Abax Health…","치과·검사기관의 청구 전 누락검사, 거절 사유 분류, 재청구 초안을 사람 승인 방식으로 제공","월 구독 + 회수·누수복원 금액의 성과수수료","거절 사유, 수정 이력, 실제 회수 결과 데이터","한국·일본의 비임상 청구 운영","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://abaxhealth.com/","https://www.sec.gov/Archives/edgar/data/1939960/000193996025000003/0001939960-25-000003-index.html"
"5","핵심","A","Heartbeat Chat, Inc.","2025-09-22","NY","Other Technology","4017498","3017498","15","마케팅·영업·고객운영","90","23","22","19","13","9","4","Host conversations, events, content, and more on your own domain. Heartbeat gives you the building blocks to create a perfectly…","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.heartbeat.chat/","https://www.sec.gov/Archives/edgar/data/2087481/000208748125000001/0002087481-25-000001-index.html"
"6","핵심","A","Shadow Shifts, Inc.","2026-02-17","CA","Other Technology","3000000","3000000","3","현장·건설·산업 운영","90","20","24","20","14","8","4","Shadow Shifts is a workforce management platform built for construction. GPS time tracking, California labor law compliance, payroll integration, and…","작업사진·완료서·자재·견적을 청구와 규정 증빙으로 바꾸는 공종 하나의 도구","업체당 월 구독 + 현장 수 + 온보딩비","공종별 문서·사진 판정·청구 결과·현장 연동","한국 공종 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.shadowshifts.com/","https://www.sec.gov/Archives/edgar/data/2110054/000211005426000001/0002110054-26-000001-index.html"
"7","핵심","A","Tarpon Health, Inc.","2026-04-20","DE","Other Health Care","2100000","1950000","13","의료 수익·청구 운영","90","21","25","20","13","7","4","Transform revenue cycle management with proven automation solutions. Join 20+ health systems using Tarpon s RCM automation library and expertise.","치과·검사기관의 청구 전 누락검사, 거절 사유 분류, 재청구 초안을 사람 승인 방식으로 제공","월 구독 + 회수·누수복원 금액의 성과수수료","거절 사유, 수정 이력, 실제 회수 결과 데이터","한국·일본의 비임상 청구 운영","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.tarponhealth.com/","https://www.sec.gov/Archives/edgar/data/2130238/000213023826000002/0002130238-26-000002-index.html"
"8","핵심","B","OTTO dms, Inc.","2026-03-05","FL","Other Technology","2500000","1000000","2","마케팅·영업·고객운영","89","23","22","19","13","8","4","Making growth easy for manufacturers​ Thousands of manufacturers use OTTO dms to grow sales, reduce costs, and maximize profit. Get…","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.ottodms.ai/","https://www.sec.gov/Archives/edgar/data/2025422/000202542226000001/0002025422-26-000001-index.html"
"9","핵심","B","Simpli Scada, LLC","2026-02-17","UT","Other Technology","","907184","4","현장·건설·산업 운영","89","20","24","19","14","8","4","Best SCADA software for industrial monitoring, reporting, and control. Cloud SCADA system solutions with no VPNs, servers, or third-party software.","작업사진·완료서·자재·견적을 청구와 규정 증빙으로 바꾸는 공종 하나의 도구","업체당 월 구독 + 현장 수 + 온보딩비","공종별 문서·사진 판정·청구 결과·현장 연동","한국 공종 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://simpliscada.com/","https://www.sec.gov/Archives/edgar/data/2109746/000210974626000002/0002109746-26-000002-index.html"
"10","핵심","B","Get Spike AI, Inc.","2025-08-19","CA","Computers","1733244","533231","6","마케팅·영업·고객운영","89","23","22","18","13","9","4","Spike AI","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://getspike.ai/","https://www.sec.gov/Archives/edgar/data/2058001/000205800125000001/0002058001-25-000001-index.html"
"11","핵심","A","Stella Automotive AI, Inc.","2026-06-17","FL","Other Technology","25996596","21994745","29","음성·프런트데스크","89","23","24","16","14","8","4","Meet STELLA: The conversational AI voice assistant for automotive dealerships. Answer calls 24/7, book service appointments, and eliminate missed opportunities.","치과·자동차정비·수리업 중 하나의 전화 접수, 예약, 미응답 후속연락을 사람 전환과 함께 자동화","지점당 월 구독 + 통화량 + 초기 연동비","업종별 통화 결과, 예약 전환, 실패·사람 전환 규칙","한국에서 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://stellaautomotive.com/","https://www.sec.gov/Archives/edgar/data/1980116/000198011626000003/0001980116-26-000003-index.html"
"12","핵심","A","Tesoro XP, Inc.","2025-09-22","TX","Other Technology","5061720","4310488","38","마케팅·영업·고객운영","89","23","21","19","13","9","4","Connect your brand with gamers in a whole new way. Tesoro’s patented platform seamlessly turns real-world spending into in-game currency…","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.tesoroxp.com/","https://www.sec.gov/Archives/edgar/data/2085829/000208582925000002/0002085829-25-000002-index.html"
"13","핵심","A","Clear Current Technologies Inc.","2025-07-31","CT","Other Energy","4285002","4285002","6","현장·건설·산업 운영","89","20","24","19","14","8","4","Energy managementfor the AI age GET IN TOUCH Clear Current is the Nerve Center of your energy operations Our platform…","작업사진·완료서·자재·견적을 청구와 규정 증빙으로 바꾸는 공종 하나의 도구","업체당 월 구독 + 현장 수 + 온보딩비","공종별 문서·사진 판정·청구 결과·현장 연동","한국 공종 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://clearcurrent.ai/","https://www.sec.gov/Archives/edgar/data/2078442/000207844225000001/0002078442-25-000001-index.html"
