"rank","verdict","tier","confidence","identity_score","inspiration_mode","name","filing_date","state","industry","industry_ko","amount_offered_usd","amount_sold_usd","investors","archetype","total_score","solo_buildability","first_revenue_speed","revenue_profit_potential","korea_business_fit","global_expansion","data_workflow_moat","investment_fit_score","first_revenue_band","product_summary","product_summary_en","opportunity_origin","solo_idea","first_offer","pricing_model","target_customer","acquisition_channel","moat_to_build","korean_analog","korea_strategy","global_strategy","penalties","risk","build_window","official_url","sec_url"
"1","추천","핵심","B","65","direct","Agentio Inc.","2025-11-18","NY","Other Technology","기타 기술","40000000","39999933","8","마케팅·영업·고객운영","95","24","20","19","15","10","7","10","30일","Agentio는 캠페인을 처음부터 끝까지 자동화하여 광고주가 몇 달이 아닌 몇 시간 만에 Meta, YouTube 등에서 크리에이터 프로그램을 확장할 수 있도록 지원하는 동시에 크리에이터를 세계 최고의 브랜드와 연결해 줍니다.","Agentio automates campaigns end to end, enabling advertisers to scale creator programs across Meta, YouTube, and beyond in hours, not months, while connecting creators with the world’s top brands.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://www.agentio.com/","https://www.sec.gov/Archives/edgar/data/2045903/000204590325000002/0002045903-25-000002-index.html"
"2","추천","핵심","B","65","direct","ORNN AI INC","2026-05-27","NY","Other Technology","기타 기술","33717924","33667935","35","마케팅·영업·고객운영","95","24","20","19","15","10","7","12","30일","Ornn은 B2B 팀이 LinkedIn 콘텐츠를 만들고 잠재고객과 소통하며 개인화된 영업 접촉을 한 플랫폼에서 실행하도록 돕는다.","Ornn helps B2B teams create LinkedIn content, engage with their audience, and run personalized outreach - all from one platform","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://ornn.io/","https://www.sec.gov/Archives/edgar/data/2133586/000213358626000001/0002133586-26-000001-index.html"
"3","추천","핵심","B","65","direct","GoCombine Corp.","2026-03-31","NC","Other Technology","기타 기술","500000","60000","3","마케팅·영업·고객운영","95","24","20","19","15","10","7","8","30일","마케팅을 중앙 집중화하고 수익 성장을 지켜보세요. 하나의 플랫폼에서 이메일 + SMS 캠페인, 템플릿 및 분석을 수행할 수 있습니다. 베타 대기자 명단에 등록하세요.","Centralize your marketing and watch revenue grow. Email + SMS campaigns, templates, and analytics in one platform. Join the beta waitlist.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://www.gocombine.com/","https://www.sec.gov/Archives/edgar/data/2105778/000210577826000001/0002105778-26-000001-index.html"
"4","추천","핵심","A","78","direct","Counsel Stack, Inc.","2025-11-24","PA","Other Technology","기타 기술","200000","200000","1","법률·전문서비스 운영","94","22","20","20","14","9","9","14","30일","Counsel Stack은 법률 문서의 인용이 실제 판례·법령과 일치하는지 확인하고 허위 인용과 미국 연방민사소송규칙 제11조 위반 위험을 찾아내는 API다.","Enterprise-grade legal citation verification API. Detect hallucinated citations, verify accuracy, and avoid Rule 11 sanctions. Trusted by 500+ legal orgs.","전문가가 사건 접수·자료 회수·문서 검수·기한·청구를 수작업하는 문제","사건 접수·자료회수·증거 타임라인·문서 품질검사·청구 가능 활동 포착 중 하나를 자동화","과거 사건 20건에서 누락 자료·기한·청구 가능 시간을 찾아주는 유료 업무감사","사용자당 월 15만~60만원 + 구축비 또는 복원매출 수수료","로펌·노무·특허·세무·손해사정 사무소 대표와 사건 운영자","전문가 협회·교육·서식 파트너와 복원매출 사례 기반 직접 영업","한국 문서·업무 템플릿, 전문가 수정 이력, 사건·청구 결과 라벨","리걸 AI 경쟁이 강하므로 사건 운영과 청구 가능한 활동 포착 같은 좁은 흐름이 필요","범용 법률답변보다 HWP 문서 QA·자료회수·기한·청구 누수에 집중하고 전문가 승인을 유지","한국 전문서비스에서 검증한 뒤 일본과 영문권 문서·청구 워크플로로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://www.counselstack.com/","https://www.sec.gov/Archives/edgar/data/2093866/000209386625000001/0002093866-25-000001-index.html"
"5","추천","핵심","B","65","direct","Poodle AI Corp.","2025-03-04","WA","Other Technology","기타 기술","6415000","5964997","11","재무·백오피스","94","22","20","20","14","9","9","12","30일","광고 비용을 지불할 때마다 보상을 받는 마케팅 지출 플랫폼입니다.","The marketing spend platform that rewards you every time you pay for ads.","계약·송장·입금·미수·회계 자료가 맞지 않아 현금 회수와 마감이 늦어지는 문제","계약·송장·입금·미수금의 불일치를 찾아 후속조치 초안을 만들고 사람이 승인","미수·송장 3개월치를 대조해 회수 우선순위와 고객별 후속문안을 제공하는 유료 진단","회사당 월 60만~300만원 + 온보딩비 또는 회수 성과수수료","계약·송장·입금·미수 관리가 복잡한 중소 B2B 기업 대표와 재무 담당자","회계사·세무사·ERP 파트너, 미수 회수·마감 단축 사례 기반 직접 영업","ERP·회계 연동, 예외·승인·회수 결과와 거래처별 지불 패턴","회계·세무 SaaS가 강하므로 불일치 탐지와 실제 회수 성과에 집중","ERP를 교체하지 않고 계약·전자세금계산서·입금 불일치와 후속조치를 연결","한국에서 회수·마감 성과를 검증한 뒤 싱가포르·호주 회계 연동으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://trypoodle.com/","https://www.sec.gov/Archives/edgar/data/2058846/000195654325000003/0001956543-25-000003-index.html"
"6","추천","핵심","B","65","direct","VoiceScript, Inc.","2025-01-31","FL","Other","기타","4810105","4255100","21","법률·전문서비스 운영","94","22","20","20","14","9","9","14","30일","VoiceScript는 로펌·속기업체·법원에 AI 법정속기, 증언녹취 준비, 실시간 코칭, 녹취록 제작과 사건 분석을 제공한다.","Transform litigation productivity with AI-powered court reporting, deposition prep, realtime coaching, transcript production, and case analytics for law firms, agencies, and courts","전문가가 사건 접수·자료 회수·문서 검수·기한·청구를 수작업하는 문제","사건 접수·자료회수·증거 타임라인·문서 품질검사·청구 가능 활동 포착 중 하나를 자동화","과거 사건 20건에서 누락 자료·기한·청구 가능 시간을 찾아주는 유료 업무감사","사용자당 월 15만~60만원 + 구축비 또는 복원매출 수수료","로펌·노무·특허·세무·손해사정 사무소 대표와 사건 운영자","전문가 협회·교육·서식 파트너와 복원매출 사례 기반 직접 영업","한국 문서·업무 템플릿, 전문가 수정 이력, 사건·청구 결과 라벨","리걸 AI 경쟁이 강하므로 사건 운영과 청구 가능한 활동 포착 같은 좁은 흐름이 필요","범용 법률답변보다 HWP 문서 QA·자료회수·기한·청구 누수에 집중하고 전문가 승인을 유지","한국 전문서비스에서 검증한 뒤 일본과 영문권 문서·청구 워크플로로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://voicescript.ai/","https://www.sec.gov/Archives/edgar/data/2054308/000205430825000001/0002054308-25-000001-index.html"
"7","추천","핵심","B","65","direct","Verlo.ai, Inc.","2026-06-12","CA","Business Services","기업 서비스","3500000","1700000","5","음성·프런트데스크","94","24","20","20","14","8","8","16","30일","전화에 응답하고, 약속을 예약하고, 확인 메시지를 자동으로 보내는 AI 기반 접수원","AI-powered receptionist that answers calls, books appointments, and sends confirmations automatically","전화 미응답·예약 변경·반복 문의 때문에 직원 시간이 들고 예약 매출이 새는 문제","전화 접수·예약·미응답 후속연락을 한 업종의 규칙과 사람 전환까지 포함해 자동화","최근 놓친 전화 100건을 분석하고 2주간 예약 완료형 AI 상담원을 운영하는 유료 파일럿","지점당 월 40만~150만원 + 통화량 + 초기 설정비","예약 전화가 매출로 이어지는 치과·정비·수리·전문서비스 사업자","업종별 사업자 명단 직접 영업, 전화·예약 구축 파트너, 협회 사례 발표","업종별 통화 결과, 예약 전환, 실패·사람 전환 규칙과 한국어 대화 평가셋","국내 AICC·보이스봇·예약 솔루션이 인접하므로 범용 상담보다 한 업종의 예약 완료에 집중","국내 전화망·네이버예약·카카오 채널과 존댓말·사람 연결 규칙을 묶어 한 업종에 판매","한국에서 예약 완료율을 검증한 뒤 일본·호주 현지 전화·예약 채널로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://verloai.com/","https://www.sec.gov/Archives/edgar/data/2108704/000210870426000001/0002108704-26-000001-index.html"
"8","추천","핵심","B","65","direct","CENTSIGHT INC","2026-02-09","MI","Other","기타","1500000","1500000","1","재무·백오피스","94","22","20","20","14","9","9","13","30일","Centsight는 연매출 100만~5천만 달러 기업의 실시간 재무데이터를 쉬운 말로 설명하고 대시보드, 현금소진율과 현금흐름 경보를 제공한다.","AI-powered financial clarity for businesses doing $1M–$50M in revenue. Plain-English answers from your live financial data. Real-time dashboards, burn rate tracking, and proactive cash flow alerts.","계약·송장·입금·미수·회계 자료가 맞지 않아 현금 회수와 마감이 늦어지는 문제","계약·송장·입금·미수금의 불일치를 찾아 후속조치 초안을 만들고 사람이 승인","미수·송장 3개월치를 대조해 회수 우선순위와 고객별 후속문안을 제공하는 유료 진단","회사당 월 60만~300만원 + 온보딩비 또는 회수 성과수수료","계약·송장·입금·미수 관리가 복잡한 중소 B2B 기업 대표와 재무 담당자","회계사·세무사·ERP 파트너, 미수 회수·마감 단축 사례 기반 직접 영업","ERP·회계 연동, 예외·승인·회수 결과와 거래처별 지불 패턴","회계·세무 SaaS가 강하므로 불일치 탐지와 실제 회수 성과에 집중","ERP를 교체하지 않고 계약·전자세금계산서·입금 불일치와 후속조치를 연결","한국에서 회수·마감 성과를 검증한 뒤 싱가포르·호주 회계 연동으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://centsight.com/","https://www.sec.gov/Archives/edgar/data/2110318/000211031826000001/0002110318-26-000001-index.html"
"9","추천","핵심","B","70","direct","Haus Analytics Inc.","2025-04-18","CA","Other Technology","기타 기술","20000000","18299934","9","마케팅·영업·고객운영","94","24","20","19","14","10","7","10","30일","Haus의 AI 기반 인과 마케팅 플랫폼과 전문가 가이드를 통해 더욱 스마트한 기업 마케팅 투자를 해보세요.","Make smarter enterprise marketing investments with Haus’ AI-powered causal marketing platform and expert guidance.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://www.haus.io/","https://www.sec.gov/Archives/edgar/data/1893901/000189390125000002/0001893901-25-000002-index.html"
"10","추천","핵심","B","65","direct","Kustomer, Inc.","2025-08-06","NJ","Other","기타","29999994","29999994","7","마케팅·영업·고객운영","94","24","20","19","14","10","7","10","30일","Kustomer의 AI 고객 서비스 CRM을 통해 더 빠르고 개인화된 지원을 제공하세요. 하나의 플랫폼에서 대화를 통합하고, 워크플로를 자동화하고, 옴니채널 CX를 강화하세요.","Deliver faster, personalized support with Kustomer s AI customer service CRM. Unify conversations, automate workflows, and power omnichannel CX in one platform.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","4~6주 MVP","https://www.kustomer.com/","https://www.sec.gov/Archives/edgar/data/1979406/000123191925000143/0001231919-25-000143-index.html"
